"File","LinesWithKorean"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\book\manage.jsp","35"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\common\footer.jsp","7"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\common\header.jsp","1"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\main.jsp","17"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\find_account.jsp","17"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\login.jsp","10"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\member_edit.jsp","23"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\mypage.jsp","14"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\mypage_owner.jsp","43"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\signup_general.jsp","25"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\signup_owner1.jsp","25"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\signup_owner2.jsp","28"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\member\signup_select.jsp","9"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\review\review_list.jsp","7"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\review\review_mine.jsp","4"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\review\review_write.jsp","12"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\store\menu_register.jsp","10"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\store\menu_update.jsp","11"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\store\store_detail.jsp","35"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\store\store_list.jsp","12"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\store\store_update.jsp","16"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\wait\wait_history.jsp","25"
"C:\spring_workspace\GourmetPass\src\main\webapp\WEB-INF\views\wait\wait_status.jsp","36"
